CodEstacao,Municipio,UF,TipoEstacao,Situacao,Latitude,Longitude,AltitudeM,DataInicioOperacao,DataFimOperacao
A108,CRUZEIRO DO SUL,AC,Automatica,Pane,-7.61055555,-72.6811111,220.0,2015-05-13T21:00:00.000-03:00,
A140,EPITACIOLANDIA,AC,Automatica,Pane,-11.02388888,-68.73527777,224.5,2009-09-24T21:00:00.000-03:00,
A138,FEIJO,AC,Automatica,Operante,-8.14277777,-70.3436111,157.17,2009-09-23T21:00:00.000-03:00,
A102,PARQUE ESTADUAL CHANDLESS,AC,Automatica,Pane,-9.35833333,-69.92638888,184.51,2008-08-04T21:00:00.000-03:00,
A136,PORTO WALTER,AC,Automatica,Pane,-8.26722221,-72.74777777,205.35,2009-10-28T21:00:00.000-03:00,
A104,RIO BRANCO,AC,Automatica,Operante,-9.95916666,-67.86888888,163.0,2008-07-10T21:00:00.000-03:00,
A353,ARAPIRACA,AL,Automatica,Operante,-9.80444444,-36.61916666,236.84,2008-04-26T21:00:00.000-03:00,
A355,CORURIPE,AL,Automatica,Operante,-10.1286111,-36.28638888,82.39,2008-09-05T21:00:00.000-03:00,
A303,MACEIO,AL,Automatica,Operante,-9.55111111,-35.77027777,84.12,2003-02-24T21:00:00.000-03:00,
82992,PALMEIRA DOS INDIOS,AL,Convencional,Operante,-9.42027777,-36.62027777,277.98,1927-12-31T21:00:00.000-03:00,
A327,PALMEIRA DOS INDIOS,AL,Automatica,Operante,-9.42027777,-36.62027777,278.01,2007-07-10T21:00:00.000-03:00,
A323,PAO DE ACUCAR,AL,Automatica,Operante,-9.74916666,-37.43083332,20.83,2007-07-13T21:00:00.000-03:00,
A371,PIRANHAS,AL,Automatica,Operante,-9.62222221,-37.76722221,187.0,2017-09-19T21:00:00.000-03:00,
A356,SAO LUIS DO QUITUNDE,AL,Automatica,Pane,-9.28749999,-35.56583333,13.69,2008-09-07T21:00:00.000-03:00,
A113,APUI,AM,Automatica,Pane,-7.20555555,-59.8886111,156.97,2008-07-18T21:00:00.000-03:00,
A120,AUTAZES,AM,Automatica,Operante,-3.58333333,-59.12944443,19.9,2008-04-16T21:00:00.000-03:00,
A128,BARCELOS,AM,Automatica,Operante,-0.98722221,-62.92416666,29.88,2008-04-18T21:00:00.000-03:00,
A110,BOCA DO ACRE,AM,Automatica,Operante,-8.77666666,-67.33249999,111.98,2008-07-14T21:00:00.000-03:00,
A117,COARI,AM,Automatica,Pane,-4.09749999,-63.14527777,33.84,2008-04-11T21:00:00.000-03:00,
82326,CODAJAS,AM,Convencional,Operante,-3.8411111,-62.05527777,30.31,1974-08-18T21:00:00.000-03:00,
82610,EIRUNEPE,AM,Convencional,Operante,-6.66166666,-69.86777777,123.42,1927-12-31T21:00:00.000-03:00,
A109,EIRUNEPE,AM,Automatica,Pane,-6.65027777,-69.8686111,121.54,2012-08-30T21:00:00.000-03:00,
A112,HUMAITA,AM,Automatica,Operante,-7.5525,-63.07138888,53.56,2008-04-24T21:00:00.000-03:00,
A121,ITACOATIARA,AM,Automatica,Operante,-3.13333333,-58.48277777,41.54,2008-04-16T21:00:00.000-03:00,
82723,LABREA,AM,Convencional,Operante,-7.26138888,-64.78999999,62.23,1972-11-29T21:00:00.000-03:00,
A111,LABREA,AM,Automatica,Pane,-7.26055555,-64.7886111,61.91,2008-07-26T21:00:00.000-03:00,
A119,MANACAPURU,AM,Automatica,Operante,-3.29472221,-60.62833332,36.57,2008-04-09T21:00:00.000-03:00,
82331,MANAUS,AM,Convencional,Operante,-3.10333333,-60.01638888,61.25,1909-12-31T21:25:56.000-02:34,
A101,MANAUS,AM,Automatica,Operante,-3.10333333,-60.01638888,61.25,2000-05-08T21:00:00.000-03:00,
A133,MANICORE,AM,Automatica,Operante,-5.7886111,-61.28833333,40.64,2011-12-11T22:00:00.000-02:00,
A122,MAUES,AM,Automatica,Pane,-3.39888888,-57.67388888,25.49,2008-04-21T21:00:00.000-03:00,
A144,NOVO ARIPUANA,AM,Automatica,Operante,-8.0911111,-60.38055554,45.0,2019-07-17T21:00:00.000-03:00,
A123,PARINTINS,AM,Automatica,Operante,-2.63916666,-56.75611111,18.72,2008-04-10T21:00:00.000-03:00,
A126,PRESIDENTE FIGUEIREDO,AM,Automatica,Pane,-2.05666666,-60.02583332,60.99,2008-04-18T21:00:00.000-03:00,
A125,RIO URUBU,AM,Automatica,Pane,-2.6336111,-59.60055555,112.84,2008-06-25T21:00:00.000-03:00,
A134,S. G. DA CACHOEIRA,AM,Automatica,Pane,-0.12527777,-67.06111111,79.67,2011-08-30T21:00:00.000-03:00,
82317,TEFE,AM,Convencional,Operante,-3.38027777,-64.72527777,56.0,1929-01-03T21:00:00.000-03:00,
A124,URUCARA,AM,Automatica,Pane,-2.53472221,-57.75805555,18.49,2008-04-16T21:00:00.000-03:00,
A251,ITAUBAL,AP,Automatica,Pane,0.56777777,-50.8236111,21.0,2017-08-23T21:00:00.000-03:00,
82098,MACAPA,AP,Convencional,Operante,-0.04499999,-51.11,12.8,1924-12-31T21:00:00.000-03:00,
A249,MACAPA,AP,Automatica,Operante,0.03499999,-51.08888888,16.62,2013-12-11T21:00:00.000-03:00,
A242,OIAPOQUE,AP,Automatica,Operante,3.81361111,-51.8625,15.14,2008-09-10T21:00:00.000-03:00,
A244,PORTO GRANDE,AP,Automatica,Operante,0.69416666,-51.40388888,84.8,2008-09-16T21:00:00.000-03:00,
A472,ACAJUTIBA,BA,Automatica,Operante,-11.65444444,-38.01583333,182.0,2026-05-08T21:00:00.000-03:00,
A434,AMARGOSA,BA,Automatica,Operante,-13.00944444,-39.61694443,397.8,2008-07-10T21:00:00.000-03:00,
83179,BARRA,BA,Convencional,Operante,-11.08472221,-43.13888888,407.5,1925-03-02T21:00:00.000-03:00,
A429,BARRA,BA,Automatica,Operante,-11.08472221,-43.13888888,407.5,2008-05-11T21:00:00.000-03:00,
A402,BARREIRAS,BA,Automatica,Operante,-12.12472221,-45.02694443,474.17,2001-12-19T22:00:00.000-02:00,
A447,BELMONTE,BA,Automatica,Operante,-16.08805555,-39.21527777,89.67,2009-07-01T21:00:00.000-03:00,
A433,BRUMADO,BA,Automatica,Operante,-14.18194443,-41.67222221,473.37,2008-04-27T21:00:00.000-03:00,
A432,BURITIRAMA,BA,Automatica,Pane,-10.72305554,-43.65111111,506.06,2008-05-14T21:00:00.000-03:00,
A405,CARAVELAS,BA,Automatica,Pane,-17.73944444,-39.25861111,6.05,2002-12-19T22:00:00.000-02:00,
83192,CIPO,BA,Convencional,Operante,-11.10138888,-38.52416666,143.53,1934-12-31T21:00:00.000-03:00,
A431,CONDE,BA,Automatica,Pane,-12.03583333,-37.68388888,31.9,2008-04-06T21:00:00.000-03:00,
A416,CORRENTINA,BA,Automatica,Operante,-13.33249999,-44.61749999,551.71,2007-11-08T21:00:00.000-03:00,
83222,CRUZ DAS ALMAS,BA,Convencional,Operante,-12.67527777,-39.08972221,219.69,1957-12-31T21:00:00.000-03:00,
A406,CRUZ DAS ALMAS,BA,Automatica,Operante,-12.67555554,-39.08944444,219.76,2003-01-18T22:00:00.000-02:00,
A448,CURACA,BA,Automatica,Operante,-9.00138888,-39.9125,370.0,2015-08-19T21:00:00.000-03:00,
A443,DELFINO,BA,Automatica,Operante,-10.455,-41.20694444,646.24,2008-07-14T21:00:00.000-03:00,
A442,EUCLIDES DA CUNHA,BA,Automatica,Operante,-10.53722221,-38.99666666,431.96,2008-03-30T21:00:00.000-03:00,
A413,FEIRA DE SANTANA,BA,Automatica,Operante,-12.1961111,-38.96749999,229.64,2007-05-25T21:00:00.000-03:00,
A452,FORMOSA DO RIO PRETO,BA,Automatica,Pane,-11.05222222,-45.20083333,488.0,2016-06-01T21:00:00.000-03:00,
A426,GUANAMBI,BA,Automatica,Operante,-14.20805555,-42.74972221,552.23,2008-04-23T21:00:00.000-03:00,
83446,GUARATINGA,BA,Convencional,Operante,-16.58081,-39.783182,197.88,1973-09-09T21:00:00.000-03:00,
A439,IBOTIRAMA,BA,Automatica,Pane,-12.19305555,-43.21333333,425.12,2008-04-27T21:00:00.000-03:00,
A410,ILHEUS,BA,Automatica,Pane,-14.65888888,-39.18138888,80.21,2003-01-24T22:00:00.000-02:00,
A445,IPIAU,BA,Automatica,Pane,-14.17138888,-39.69249999,132.11,2009-06-29T21:00:00.000-03:00,
