Municipio,UF,QtdUsinasHidreletricas,QtdUHE,QtdPCH,QtdCGH,QtdEmOperacao,PotenciaOutorgadaTotalKw,NomesUsinas
Delmiro Gouveia,AL,5,5,0,0,5,4279601.0,Apolônio Sales (Antiga Moxotó); Paulo Afonso I; Paulo Afonso II; Paulo Afonso III; Paulo Afonso IV
Maceió,AL,1,0,0,1,1,412.8,Caeté Cachoeira
Matriz de Camaragibe,AL,1,0,0,1,1,945.0,Cachoeira Serra D Água
Piranhas,AL,1,1,0,0,1,3162000.0,Xingó
Rio Largo,AL,1,0,0,1,1,864.0,Gustavo Paiva
São José da Laje,AL,3,0,0,3,3,1766.7,Gibóia; Laje; Oriental
São Luís do Quitunde,AL,1,0,0,1,1,472.5,Cachoeira do Feijó
Presidente Figueiredo,AM,2,2,0,0,2,274710.0,Balbina; Pitinga
Ferreira Gomes,AP,3,3,0,0,3,549000.0,Cachoeira Caldeirão; Coaracy Nunes; Ferreira Gomes
Laranjal do Jari,AP,1,1,0,0,1,392950.0,Santo Antônio do Jari
Macapá,AP,1,1,0,0,1,78000.0,Coaracy Nunes
Oiapoque,AP,1,0,1,0,0,7500.0,Salto Cafesoca
Porto Grande,AP,1,1,0,0,1,219000.0,Cachoeira Caldeirão
Barreiras,BA,2,0,0,2,2,2240.0,AISA - CABECEIRINHA; SANTA CRUZ II
Cachoeira,BA,1,1,0,0,1,160000.0,Pedra do Cavalo
Correntina,BA,1,0,1,0,1,8000.0,Presidente Goulart
Formosa do Rio Preto,BA,1,0,0,1,1,60.0,Fazenda Cachoeira
Glória,BA,1,1,0,0,1,1479600.0,Luiz Gonzaga (Itaparica)
Governador Mangabeira,BA,1,1,0,0,1,160000.0,Pedra do Cavalo
Ibirapitanga,BA,1,0,0,1,1,533.6,Santa Luzia
Igrapiúna,BA,3,0,0,3,3,844.0,Juliana I; Juliana II; Vargido
Itamaraju,BA,1,0,1,0,1,14800.0,Cachoeira da Lixa
Itapebi,BA,1,1,0,0,1,462011.0,Itapebi
Jaborandi,BA,3,0,0,3,3,3740.0,Dourado; Girassol; Pratudão
Jequié,BA,1,1,0,0,1,20007.0,Pedra
Jucuruçu,BA,3,0,3,0,3,41800.0,Cachoeira da Lixa; Colino 1; Colino 2
Mucuri,BA,1,1,0,0,1,60000.0,Santa Clara
Paulo Afonso,BA,4,4,0,0,4,3879601.0,Paulo Afonso I; Paulo Afonso II; Paulo Afonso III; Paulo Afonso IV
Piatã,BA,1,0,0,1,1,7.5,Fazenda Magna Mater
Sobradinho,BA,1,1,0,0,1,1050300.0,Sobradinho
São Desidério,BA,5,1,2,2,4,56101.0,Alto Fêmeas I; Norfil Agro; Rieger Agropecuária; Santa Luzia; Sítio Grande
Ubaitaba,BA,1,1,0,0,1,30000.0,Funil
Valença,BA,1,0,1,0,1,10980.0,Candengo
Vereda,BA,2,0,2,0,2,27000.0,Colino 1; Colino 2
Brasília,DF,1,1,0,0,1,30000.0,Paranoá
Alegre,ES,3,0,3,0,3,58056.0,Alegre; Francisco Gross (Antiga Santa Fé); São Simão
Alfredo Chaves,ES,1,0,1,0,1,21000.0,São Joaquim
Baixo Guandu,ES,2,2,0,0,2,528000.0,Aimorés; Mascarenhas
Cachoeiro de Itapemirim,ES,1,0,1,0,1,8736.0,Fruteiras
Castelo,ES,1,0,1,0,1,25000.0,São João
Colatina,ES,2,0,0,2,2,480.0,Cachoeira do Oito; Santa Maria
Conceição do Castelo,ES,2,0,2,0,2,29500.0,São João; Viçosa (Antiga Bicame)
Domingos Martins,ES,3,0,2,1,2,39840.0,Frei Galvão; Jucu; São Pedro
Dores do Rio Preto,ES,1,0,1,0,1,4500.0,Fumaça IV
Guaçuí,ES,1,1,0,0,1,55000.0,Rosal
Itapemirim,ES,1,0,1,0,1,3800.0,Ilha da Luz
Laranja da Terra,ES,1,0,1,0,1,10500.0,São Luiz
Mimoso do Sul,ES,1,0,1,0,1,19000.0,Pedra do Garrafão
Muniz Freire,ES,1,1,0,0,1,25000.0,Muniz Freire
Rio Novo do Sul,ES,1,0,0,1,1,1512.0,Santa Luzia
Santa Leopoldina,ES,1,1,0,0,1,35337.0,Suíça
Santa Maria de Jetibá,ES,1,0,1,0,1,22500.0,Rio Bonito
Santa Teresa,ES,1,0,0,1,1,440.0,Tabocas
Serra,ES,1,0,0,1,1,7.5,Sítio Barragem
