Municipio,UF,NomEmpreendimento,CodCEG,SigTipoGeracao,DscTipoGeracaoExtenso,DscFaseUsina,DatEntradaOperacao,MdaPotenciaOutorgadaKw,MdaPotenciaFiscalizadaKw,DscSubBacia
Delmiro Gouveia,AL,Apolônio Sales (Antiga Moxotó),UHE.PH.AL.001510-5.1,UHE,Usina Hidrelétrica,Operação,1977-04-15,400000.0,400000.0," 49 - Sao Francisco, a jusante do Pajeu"
Delmiro Gouveia,AL,Paulo Afonso I,UHE.PH.BA.002012-5.1,UHE,Usina Hidrelétrica,Operação,1964-12-30,180001.0,180001.0," 49 - Sao Francisco, a jusante do Pajeu"
Delmiro Gouveia,AL,Paulo Afonso II,UHE.PH.BA.027048-2.1,UHE,Usina Hidrelétrica,Operação,1961-10-24,443000.0,443000.0," 49 - Sao Francisco, a jusante do Pajeu"
Delmiro Gouveia,AL,Paulo Afonso III,UHE.PH.BA.027049-0.1,UHE,Usina Hidrelétrica,Operação,1971-10-21,794200.0,794200.0," 49 - Sao Francisco, a jusante do Pajeu"
Delmiro Gouveia,AL,Paulo Afonso IV,UHE.PH.BA.027050-4.1,UHE,Usina Hidrelétrica,Operação,1979-12-01,2462400.0,2462400.0," 49 - Sao Francisco, a jusante do Pajeu"
Maceió,AL,Caeté Cachoeira,CGH.PH.AL.029328-8.1,CGH,Central Geradora Hidrelétrica,Operação,1986-06-01,412.8,412.0, 39 - Litoraneas de Pernambuco e Alagoas
Matriz de Camaragibe,AL,Cachoeira Serra D Água,CGH.PH.AL.028860-8.1,CGH,Central Geradora Hidrelétrica,Operação,1900-01-03,945.0,945.0, 39 - Litoraneas de Pernambuco e Alagoas
Piranhas,AL,Xingó,UHE.PH.SE.027053-9.1,UHE,Usina Hidrelétrica,Operação,1994-12-16,3162000.0,3162000.0," 49 - Sao Francisco, a jusante do Pajeu"
Rio Largo,AL,Gustavo Paiva,CGH.PH.AL.030112-4.1,CGH,Central Geradora Hidrelétrica,Operação,2009-06-22,864.0,864.0, 39 - Paraiba e outros
São José da Laje,AL,Gibóia,CGH.PH.AL.028545-5.1,CGH,Central Geradora Hidrelétrica,Operação,1900-01-03,160.0,160.0, 39 - Litoraneas de Pernambuco e Alagoas
São José da Laje,AL,Laje,CGH.PH.AL.028544-7.1,CGH,Central Geradora Hidrelétrica,Operação,1900-01-03,200.0,200.0, 39 - Litoraneas de Pernambuco e Alagoas
São José da Laje,AL,Oriental,CGH.PH.AL.028557-9.2,CGH,Central Geradora Hidrelétrica,Operação,1947-01-01,1406.7,1406.0, 39 - Paraiba e outros
São Luís do Quitunde,AL,Cachoeira do Feijó,CGH.PH.AL.000476-6.1,CGH,Central Geradora Hidrelétrica,Operação,1900-01-03,472.5,472.0, 39 - Litoraneas de Pernambuco e Alagoas
Presidente Figueiredo,AM,Balbina,UHE.PH.AM.000190-2.1,UHE,Usina Hidrelétrica,Operação,1989-02-20,249750.0,249750.0," 16 - Amazonas, entre os rios Madeira e Trombetas"
